"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1961","Bulgaria","Total","Total","Number","7 905 502",""
"1961","Bulgaria","Total","Males","Number","3 946 909",""
"1961","Bulgaria","Total","Females","Number","3 958 593",""
"1961","Czechia","Total","Total","Number","9 566 172",""
"1961","Czechia","Total","Males","Number","4 637 928",""
"1961","Czechia","Total","Females","Number","4 928 244",""
"1961","Denmark","Total","Total","Number","4 593 750",""
"1961","Denmark","Total","Males","Number","2 277 768",""
"1961","Denmark","Total","Females","Number","2 315 982",""
"1961","Germany including former GDR","Total","Total","Number","73 086 809",""
"1961","Germany including former GDR","Total","Males","Number","34 072 979",""
"1961","Germany including former GDR","Total","Females","Number","39 013 830",""
"1961","Estonia","Total","Total","Number","1 216 712",""
"1961","Estonia","Total","Males","Number","538 783",""
"1961","Estonia","Total","Females","Number","677 929",""
"1961","Ireland","Total","Total","Number","2 821 700",""
"1961","Ireland","Total","Males","Number","1 419 100",""
"1961","Ireland","Total","Females","Number","1 402 600",""
"1961","Greece","Total","Total","Number","8 363 050",""
"1961","Greece","Total","Males","Number","4 069 908",""
"1961","Greece","Total","Females","Number","4 293 142",""
"1961","Spain","Total","Total","Number","30 583 000",""
"1961","Spain","Total","Males","Number","14 956 240",""
"1961","Spain","Total","Females","Number","15 626 760",""
"1961","France","Total","Total","Number",":",""
"1961","France","Total","Males","Number",":",""
"1961","France","Total","Females","Number",":",""
"1961","France (metropolitan)","Total","Total","Number","45 903 656",""
"1961","France (metropolitan)","Total","Males","Number","22 278 575",""
"1961","France (metropolitan)","Total","Females","Number","23 625 081",""
"1961","Croatia","Total","Total","Number","4 152 939",""
"1961","Croatia","Total","Males","Number",":",""
"1961","Croatia","Total","Females","Number",":",""
"1961","Italy","Total","Total","Number","50 373 900",""
"1961","Italy","Total","Males","Number","24 668 700",""
"1961","Italy","Total","Females","Number","25 705 200",""
"1961","Cyprus","Total","Total","Number","573 566",""
"1961","Cyprus","Total","Males","Number","281 983",""
"1961","Cyprus","Total","Females","Number","291 583",""
"1961","Latvia","Total","Total","Number","2 137 830",""
"1961","Latvia","Total","Males","Number",":",""
"1961","Latvia","Total","Females","Number",":",""
"1961","Lithuania","Total","Total","Number","2 801 500",""
"1961","Lithuania","Total","Males","Number",":",""
"1961","Lithuania","Total","Females","Number",":",""
"1961","Luxembourg","Total","Total","Number","314 889",""
"1961","Luxembourg","Total","Males","Number","155 481",""
"1961","Luxembourg","Total","Females","Number","159 408",""
"1961","Hungary","Total","Total","Number","10 005 980",""
"1961","Hungary","Total","Males","Number","4 828 164",""
"1961","Hungary","Total","Females","Number","5 177 816",""
"1961","Malta","Total","Total","Number",":",""
"1961","Malta","Total","Males","Number",":",""
"1961","Malta","Total","Females","Number",":",""
"1961","Netherlands","Total","Total","Number","11 556 008",""
"1961","Netherlands","Total","Males","Number","5 754 229",""
"1961","Netherlands","Total","Females","Number","5 801 779",""
"1961","Austria","Total","Total","Number","7 064 693",""
"1961","Austria","Total","Males","Number","3 291 596",""
"1961","Austria","Total","Females","Number","3 773 097",""
"1961","Poland","Total","Total","Number","29 795 000",""
"1961","Poland","Total","Males","Number",":",""
"1961","Poland","Total","Females","Number",":",""
"1961","Portugal","Total","Total","Number","8 889 392",""
"1961","Portugal","Total","Males","Number","4 254 416",""
"1961","Portugal","Total","Females","Number","4 634 976",""
"1961","Romania","Total","Total","Number","18 494 600",""
"1961","Romania","Total","Males","Number",":",""
"1961","Romania","Total","Females","Number",":",""
"1961","Slovenia","Total","Total","Number","1 588 904",""
"1961","Slovenia","Total","Males","Number",":",""
"1961","Slovenia","Total","Females","Number",":",""
"1961","Slovakia","Total","Total","Number","4 166 507",""
"1961","Slovakia","Total","Males","Number","2 060 226",""
"1961","Slovakia","Total","Females","Number","2 106 281",""
"1961","Finland","Total","Total","Number","4 446 222",""
"1961","Finland","Total","Males","Number","2 142 263",""
"1961","Finland","Total","Females","Number","2 303 959",""
"1961","Sweden","Total","Total","Number","7 497 967",""
"1961","Sweden","Total","Males","Number","3 740 119",""
"1961","Sweden","Total","Females","Number","3 757 848",""
"1961","United Kingdom","Total","Total","Number","52 600 000",""
"1961","United Kingdom","Total","Males","Number","25 400 000",""
"1961","United Kingdom","Total","Females","Number","27 200 000",""
"1961","Iceland","Total","Total","Number","177 292",""
"1961","Iceland","Total","Males","Number","89 578",""
"1961","Iceland","Total","Females","Number","87 714",""
"1961","Liechtenstein","Total","Total","Number","16 628",""
"1961","Liechtenstein","Total","Males","Number","8 130",""
"1961","Liechtenstein","Total","Females","Number","8 498",""
"1961","Norway","Total","Total","Number","3 594 771",""
"1961","Norway","Total","Males","Number","1 791 144",""
"1961","Norway","Total","Females","Number","1 803 627",""
"1961","Switzerland","Total","Total","Number","5 360 153",""
"1961","Switzerland","Total","Males","Number","2 597 198",""
"1961","Switzerland","Total","Females","Number","2 762 955",""
"1961","Montenegro","Total","Total","Number",":",""
"1961","Montenegro","Total","Males","Number",":",""
"1961","Montenegro","Total","Females","Number",":",""
"1961","North Macedonia","Total","Total","Number","1 399 403",""
"1961","North Macedonia","Total","Males","Number",":",""
"1961","North Macedonia","Total","Females","Number",":",""
"1961","Albania","Total","Total","Number","1 633 800",""
"1961","Albania","Total","Males","Number",":",""
"1961","Albania","Total","Females","Number",":",""
"1961","Serbia","Total","Total","Number",":",""
"1961","Serbia","Total","Males","Number",":",""
"1961","Serbia","Total","Females","Number",":",""
"1961","Turkey","Total","Total","Number","27 755 078",""
"1961","Turkey","Total","Males","Number","14 148 847",""
"1961","Turkey","Total","Females","Number","13 606 231",""
"1961","Andorra","Total","Total","Number",":",""
"1961","Andorra","Total","Males","Number",":",""
"1961","Andorra","Total","Females","Number",":",""
"1961","Belarus","Total","Total","Number",":",""
"1961","Belarus","Total","Males","Number",":",""
"1961","Belarus","Total","Females","Number",":",""
"1961","Bosnia and Herzegovina","Total","Total","Number","3 265 629",""
"1961","Bosnia and Herzegovina","Total","Males","Number",":",""
"1961","Bosnia and Herzegovina","Total","Females","Number",":",""
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":",""
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Males","Number",":",""
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Females","Number",":",""
"1961","Moldova","Total","Total","Number",":",""
"1961","Moldova","Total","Males","Number",":",""
"1961","Moldova","Total","Females","Number",":",""
"1961","Monaco","Total","Total","Number",":",""
"1961","Monaco","Total","Males","Number",":",""
"1961","Monaco","Total","Females","Number",":",""
"1961","Russia","Total","Total","Number",":",""
"1961","Russia","Total","Males","Number",":",""
"1961","Russia","Total","Females","Number",":",""
"1961","San Marino","Total","Total","Number",":",""
"1961","San Marino","Total","Males","Number",":",""
"1961","San Marino","Total","Females","Number",":",""
"1961","Ukraine","Total","Total","Number",":",""
"1961","Ukraine","Total","Males","Number",":",""
"1961","Ukraine","Total","Females","Number",":",""
"1961","Armenia","Total","Total","Number",":",""
"1961","Armenia","Total","Males","Number",":",""
"1961","Armenia","Total","Females","Number",":",""
"1961","Azerbaijan","Total","Total","Number",":",""
"1961","Azerbaijan","Total","Males","Number",":",""
"1961","Azerbaijan","Total","Females","Number",":",""
"1961","Georgia","Total","Total","Number",":",""
"1961","Georgia","Total","Males","Number",":",""
"1961","Georgia","Total","Females","Number",":",""
"1962","Belgium","Total","Total","Number","9 189 741",""
"1962","Belgium","Total","Males","Number","4 496 860",""
"1962","Belgium","Total","Females","Number","4 692 881",""
"1962","Bulgaria","Total","Total","Number","7 980 734",""
"1962","Bulgaria","Total","Males","Number","3 985 191",""
"1962","Bulgaria","Total","Females","Number","3 995 543",""
"1962","Czechia","Total","Total","Number","9 607 129",""
"1962","Czechia","Total","Males","Number","4 658 142",""
"1962","Czechia","Total","Females","Number","4 948 987",""
"1962","Denmark","Total","Total","Number","4 629 624",""
"1962","Denmark","Total","Males","Number","2 295 948",""
"1962","Denmark","Total","Females","Number","2 333 676",""
"1962","Germany including former GDR","Total","Total","Number","73 668 454",""
"1962","Germany including former GDR","Total","Males","Number","34 342 151",""
"1962","Germany including former GDR","Total","Females","Number","39 326 303",""
"1962","Estonia","Total","Total","Number","1 233 441",""
"1962","Estonia","Total","Males","Number","547 734",""
"1962","Estonia","Total","Females","Number","685 707",""
"1962","Ireland","Total","Total","Number","2 827 100",""
"1962","Ireland","Total","Males","Number","1 421 200",""
"1962","Ireland","Total","Females","Number","1 405 900",""
"1962","Greece","Total","Total","Number","8 433 050",""
"1962","Greece","Total","Males","Number","4 121 760",""
"1962","Greece","Total","Females","Number","4 311 290",""
"1962","Spain","Total","Total","Number","30 895 500",""
"1962","Spain","Total","Males","Number","15 029 826",""
"1962","Spain","Total","Females","Number","15 865 674",""
"1962","France","Total","Total","Number",":",""
"1962","France","Total","Males","Number",":",""
"1962","France","Total","Females","Number",":",""
"1962","France (metropolitan)","Total","Total","Number","46 422 000",""
"1962","France (metropolitan)","Total","Males","Number","22 551 930",""
"1962","France (metropolitan)","Total","Females","Number","23 870 070",""
"1962","Croatia","Total","Total","Number","4 181 645",""
"1962","Croatia","Total","Males","Number",":",""
"1962","Croatia","Total","Females","Number",":",""
"1962","Italy","Total","Total","Number","50 698 800",""
"1962","Italy","Total","Males","Number","24 829 100",""
"1962","Italy","Total","Females","Number","25 869 700",""
"1962","Cyprus","Total","Total","Number","575 900",""
"1962","Cyprus","Total","Males","Number","284 000",""
"1962","Cyprus","Total","Females","Number","291 900",""
"1962","Latvia","Total","Total","Number","2 167 531",""
"1962","Latvia","Total","Males","Number",":",""
"1962","Latvia","Total","Females","Number",":",""
"1962","Lithuania","Total","Total","Number","2 845 600",""
"1962","Lithuania","Total","Males","Number",":",""
"1962","Lithuania","Total","Females","Number",":",""
"1962","Luxembourg","Total","Total","Number","318 800",""
"1962","Luxembourg","Total","Males","Number","157 300",""
"1962","Luxembourg","Total","Females","Number","161 500",""
"1962","Hungary","Total","Total","Number","10 049 935",""
"1962","Hungary","Total","Males","Number","4 851 471",""
"1962","Hungary","Total","Females","Number","5 198 464",""
"1962","Malta","Total","Total","Number",":",""
"1962","Malta","Total","Males","Number",":",""
"1962","Malta","Total","Females","Number",":",""
"1962","Netherlands","Total","Total","Number","11 721 416",""
"1962","Netherlands","Total","Males","Number","5 838 368",""
"1962","Netherlands","Total","Females","Number","5 883 048",""
"1962","Austria","Total","Total","Number","7 107 904",""
"1962","Austria","Total","Males","Number","3 313 774",""
"1962","Austria","Total","Females","Number","3 794 130",""
"1962","Poland","Total","Total","Number","30 133 000",""
"1962","Poland","Total","Males","Number",":",""
"1962","Poland","Total","Females","Number",":",""
"1962","Portugal","Total","Total","Number","8 969 240",""
"1962","Portugal","Total","Males","Number","4 293 700",""
"1962","Portugal","Total","Females","Number","4 675 540",""
"1962","Romania","Total","Total","Number","18 615 900",""
"1962","Romania","Total","Males","Number",":",""
"1962","Romania","Total","Females","Number",":",""
"1962","Slovenia","Total","Total","Number","1 599 357",""
"1962","Slovenia","Total","Males","Number",":",""
"1962","Slovenia","Total","Females","Number",":",""
"1962","Slovakia","Total","Total","Number","4 216 827",""
"1962","Slovakia","Total","Males","Number","2 085 605",""
"1962","Slovakia","Total","Females","Number","2 131 222",""
"1962","Finland","Total","Total","Number","4 475 787",""
"1962","Finland","Total","Males","Number","2 157 873",""
"1962","Finland","Total","Females","Number","2 317 914",""
"1962","Sweden","Total","Total","Number","7 542 028",""
"1962","Sweden","Total","Males","Number","3 763 040",""
"1962","Sweden","Total","Females","Number","3 778 988",""
"1962","United Kingdom","Total","Total","Number","53 000 000",""
"1962","United Kingdom","Total","Males","Number","25 700 000",""
"1962","United Kingdom","Total","Females","Number","27 400 000",""
"1962","Iceland","Total","Total","Number","180 765",""
"1962","Iceland","Total","Males","Number","91 355",""
"1962","Iceland","Total","Females","Number","89 410",""
"1962","Liechtenstein","Total","Total","Number","17 125",""
"1962","Liechtenstein","Total","Males","Number","8 430",""
"1962","Liechtenstein","Total","Females","Number","8 695",""
"1962","Norway","Total","Total","Number","3 624 829",""
"1962","Norway","Total","Males","Number","1 806 200",""
"1962","Norway","Total","Females","Number","1 818 629",""
"1962","Switzerland","Total","Total","Number","5 508 435",""
"1962","Switzerland","Total","Males","Number","2 672 561",""
"1962","Switzerland","Total","Females","Number","2 835 874",""
"1962","Montenegro","Total","Total","Number",":",""
"1962","Montenegro","Total","Males","Number",":",""
"1962","Montenegro","Total","Females","Number",":",""
"1962","North Macedonia","Total","Total","Number","1 417 200",""
"1962","North Macedonia","Total","Males","Number",":",""
"1962","North Macedonia","Total","Females","Number",":",""
"1962","Albania","Total","Total","Number","1 685 800",""
"1962","Albania","Total","Males","Number",":",""
"1962","Albania","Total","Females","Number",":",""
"1962","Serbia","Total","Total","Number",":",""
"1962","Serbia","Total","Males","Number",":",""
"1962","Serbia","Total","Females","Number",":",""
"1962","Turkey","Total","Total","Number","28 435 197",""
"1962","Turkey","Total","Males","Number","14 491 767",""
"1962","Turkey","Total","Females","Number","13 943 430",""
"1962","Andorra","Total","Total","Number",":",""
"1962","Andorra","Total","Males","Number",":",""
"1962","Andorra","Total","Females","Number",":",""
"1962","Belarus","Total","Total","Number",":",""
"1962","Belarus","Total","Males","Number",":",""
"1962","Belarus","Total","Females","Number",":",""
"1962","Bosnia and Herzegovina","Total","Total","Number","3 329 909",""
"1962","Bosnia and Herzegovina","Total","Males","Number",":",""
"1962","Bosnia and Herzegovina","Total","Females","Number",":",""
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":",""
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Males","Number",":",""
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Females","Number",":",""
"1962","Moldova","Total","Total","Number",":",""
"1962","Moldova","Total","Males","Number",":",""
"1962","Moldova","Total","Females","Number",":",""
"1962","Monaco","Total","Total","Number",":",""
"1962","Monaco","Total","Males","Number",":",""
"1962","Monaco","Total","Females","Number",":",""
"1962","Russia","Total","Total","Number",":",""
"1962","Russia","Total","Males","Number",":",""
"1962","Russia","Total","Females","Number",":",""
"1962","San Marino","Total","Total","Number",":",""
"1962","San Marino","Total","Males","Number",":",""
"1962","San Marino","Total","Females","Number",":",""
"1962","Ukraine","Total","Total","Number",":",""
"1962","Ukraine","Total","Males","Number",":",""
"1962","Ukraine","Total","Females","Number",":",""
"1962","Armenia","Total","Total","Number",":",""
"1962","Armenia","Total","Males","Number",":",""
"1962","Armenia","Total","Females","Number",":",""
"1962","Azerbaijan","Total","Total","Number",":",""
"1962","Azerbaijan","Total","Males","Number",":",""
"1962","Azerbaijan","Total","Females","Number",":",""
"1962","Georgia","Total","Total","Number",":",""
"1962","Georgia","Total","Males","Number",":",""
"1962","Georgia","Total","Females","Number",":",""
"1963","Belgium","Total","Total","Number","9 251 414",""
"1963","Belgium","Total","Males","Number","4 529 505",""
"1963","Belgium","Total","Females","Number","4 721 909",""
"1963","Bulgaria","Total","Total","Number","8 045 158",""
"1963","Bulgaria","Total","Males","Number","4 017 678",""
"1963","Bulgaria","Total","Females","Number","4 027 480",""
"1963","Czechia","Total","Total","Number","9 642 191",""
"1963","Czechia","Total","Males","Number","4 675 376",""
"1963","Czechia","Total","Females","Number","4 966 815",""
"1963","Denmark","Total","Total","Number","4 665 829",""
"1963","Denmark","Total","Males","Number","2 313 679",""
"1963","Denmark","Total","Females","Number","2 352 150",""
"1963","Germany including former GDR","Total","Total","Number","74 383 113",""
"1963","Germany including former GDR","Total","Males","Number","34 772 182",""
"1963","Germany including former GDR","Total","Females","Number","39 610 931",""
"1963","Estonia","Total","Total","Number","1 249 804",""
"1963","Estonia","Total","Males","Number","557 386",""
"1963","Estonia","Total","Females","Number","692 418",""
"1963","Ireland","Total","Total","Number","2 845 000",""
"1963","Ireland","Total","Males","Number","1 430 200",""
"1963","Ireland","Total","Females","Number","1 414 800",""
"1963","Greece","Total","Total","Number","8 463 416",""
"1963","Greece","Total","Males","Number","4 115 104",""
"1963","Greece","Total","Females","Number","4 348 312",""
"1963","Spain","Total","Total","Number","31 151 231",""
"1963","Spain","Total","Males","Number","15 166 264",""
"1963","Spain","Total","Females","Number","15 984 967",""
"1963","France","Total","Total","Number",":",""
"1963","France","Total","Males","Number",":",""
"1963","France","Total","Females","Number",":",""
"1963","France (metropolitan)","Total","Total","Number","47 573 406",""
"1963","France (metropolitan)","Total","Males","Number","23 148 583",""
"1963","France (metropolitan)","Total","Females","Number","24 424 823",""
"1963","Croatia","Total","Total","Number","4 211 778",""
"1963","Croatia","Total","Males","Number",":",""
"1963","Croatia","Total","Females","Number",":",""
"1963","Italy","Total","Total","Number","51 060 100",""
"1963","Italy","Total","Males","Number","25 000 600",""
"1963","Italy","Total","Females","Number","26 059 500",""
"1963","Cyprus","Total","Total","Number","578 900",""
"1963","Cyprus","Total","Males","Number","285 000",""
"1963","Cyprus","Total","Females","Number","293 900",""
"1963","Latvia","Total","Total","Number","2 195 640",""
"1963","Latvia","Total","Males","Number",":",""
"1963","Latvia","Total","Females","Number",":",""
"1963","Lithuania","Total","Total","Number","2 881 100",""
"1963","Lithuania","Total","Males","Number",":",""
"1963","Lithuania","Total","Females","Number",":",""
"1963","Luxembourg","Total","Total","Number","322 700",""
"1963","Luxembourg","Total","Males","Number","159 100",""
"1963","Luxembourg","Total","Females","Number","163 600",""
"1963","Hungary","Total","Total","Number","10 071 715",""
"1963","Hungary","Total","Males","Number","4 863 372",""
"1963","Hungary","Total","Females","Number","5 208 343",""
"1963","Malta","Total","Total","Number",":",""
"1963","Malta","Total","Males","Number",":",""
"1963","Malta","Total","Females","Number",":",""
"1963","Netherlands","Total","Total","Number","11 889 962",""
"1963","Netherlands","Total","Males","Number","5 923 811",""
"1963","Netherlands","Total","Females","Number","5 966 151",""
"1963","Austria","Total","Total","Number","7 151 824",""
"1963","Austria","Total","Males","Number","3 337 633",""
"1963","Austria","Total","Females","Number","3 814 191",""
"1963","Poland","Total","Total","Number","30 484 000",""
"1963","Poland","Total","Males","Number",":",""
"1963","Poland","Total","Females","Number",":",""
"1963","Portugal","Total","Total","Number","9 018 730",""
"1963","Portugal","Total","Males","Number","4 314 750",""
"1963","Portugal","Total","Females","Number","4 703 980",""
"1963","Romania","Total","Total","Number","18 737 200",""
"1963","Romania","Total","Males","Number",":",""
"1963","Romania","Total","Females","Number",":",""
"1963","Slovenia","Total","Total","Number","1 607 941",""
"1963","Slovenia","Total","Males","Number",":",""
"1963","Slovenia","Total","Females","Number",":",""
"1963","Slovakia","Total","Total","Number","4 259 549",""
"1963","Slovakia","Total","Males","Number","2 107 029",""
"1963","Slovakia","Total","Females","Number","2 152 520",""
"1963","Finland","Total","Total","Number","4 507 098",""
"1963","Finland","Total","Males","Number","2 174 124",""
"1963","Finland","Total","Females","Number","2 332 974",""
"1963","Sweden","Total","Total","Number","7 581 148",""
"1963","Sweden","Total","Males","Number","3 782 252",""
"1963","Sweden","Total","Females","Number","3 798 896",""
"1963","United Kingdom","Total","Total","Number","53 500 000",""
"1963","United Kingdom","Total","Males","Number","25 900 000",""
"1963","United Kingdom","Total","Females","Number","27 500 000",""
"1963","Iceland","Total","Total","Number","183 991",""
"1963","Iceland","Total","Males","Number","93 002",""
"1963","Iceland","Total","Females","Number","90 989",""
"1963","Liechtenstein","Total","Total","Number","17 761",""
"1963","Liechtenstein","Total","Males","Number","8 780",""
"1963","Liechtenstein","Total","Females","Number","8 981",""
"1963","Norway","Total","Total","Number","3 653 006",""
"1963","Norway","Total","Males","Number","1 820 146",""
"1963","Norway","Total","Females","Number","1 832 860",""
"1963","Switzerland","Total","Total","Number","5 639 195",""
"1963","Switzerland","Total","Males","Number","2 740 094",""
"1963","Switzerland","Total","Females","Number","2 899 101",""
"1963","Montenegro","Total","Total","Number",":",""
"1963","Montenegro","Total","Males","Number",":",""
"1963","Montenegro","Total","Females","Number",":",""
"1963","North Macedonia","Total","Total","Number","1 438 342",""
"1963","North Macedonia","Total","Males","Number",":",""
"1963","North Macedonia","Total","Females","Number",":",""
