"TIME","GEO","MONTH","UNIT","Value"
"1962","Cyprus","Total","Number","14 787"
"1962","Latvia","Total","Number","35 061"
"1962","Lithuania","Total","Number","59 728"
"1962","Luxembourg","Total","Number","5 137"
"1962","Hungary","Total","Number","130 053"
"1962","Malta","Total","Number","7 513"
"1962","Netherlands","Total","Number","246 150"
"1962","Austria","Total","Number","133 253"
"1962","Poland","Total","Number","599 505"
"1962","Portugal","Total","Number","220 200"
"1962","Romania","Total","Number","301 985"
"1962","Slovenia","Total","Number","29 035"
"1962","Slovakia","Total","Number","83 899"
"1962","Finland","Total","Number","81 454"
"1962","Sweden","Total","Number","107 284"
"1962","United Kingdom","Total","Number","975 600"
"1962","Iceland","Total","Number","4 711"
"1962","Liechtenstein","Total","Number","360"
"1962","Norway","Total","Number","62 254"
"1962","Switzerland","Total","Number","104 322"
"1962","Montenegro","Total","Number",":"
"1962","North Macedonia","Total","Number","40 615"
"1962","Albania","Total","Number","67 209"
"1962","Serbia","Total","Number",":"
"1962","Turkey","Total","Number",":"
"1962","Andorra","Total","Number",":"
"1962","Belarus","Total","Number",":"
"1962","Bosnia and Herzegovina","Total","Number","106 826"
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1962","Moldova","Total","Number",":"
"1962","Monaco","Total","Number",":"
"1962","Russia","Total","Number",":"
"1962","San Marino","Total","Number",":"
"1962","Ukraine","Total","Number",":"
"1962","Armenia","Total","Number",":"
"1962","Azerbaijan","Total","Number",":"
"1962","Georgia","Total","Number",":"
"1963","Belgium","Total","Number","159 192"
"1963","Bulgaria","Total","Number","132 143"
"1963","Czechia","Total","Number","148 840"
"1963","Denmark","Total","Number","82 413"
"1963","Germany including former GDR","Total","Number","1 355 595"
"1963","Estonia","Total","Number","19 275"
"1963","Ireland","Total","Number","63 246"
"1963","Greece","Total","Number","148 366"
"1963","Spain","Total","Number","668 472"
"1963","France","Total","Number",":"
"1963","France (metropolitan)","Total","Number","865 339"
"1963","Croatia","Total","Number","69 878"
"1963","Italy","Total","Number","960 336"
"1963","Cyprus","Total","Number","14 602"
"1963","Latvia","Total","Number","33 843"
"1963","Lithuania","Total","Number","57 024"
"1963","Luxembourg","Total","Number","5 112"
"1963","Hungary","Total","Number","132 335"
"1963","Malta","Total","Number","6 672"
"1963","Netherlands","Total","Number","249 879"
"1963","Austria","Total","Number","134 809"
"1963","Poland","Total","Number","589 349"
"1963","Portugal","Total","Number","212 152"
"1963","Romania","Total","Number","294 886"
"1963","Slovenia","Total","Number","29 174"
"1963","Slovakia","Total","Number","87 158"
"1963","Finland","Total","Number","82 251"
"1963","Sweden","Total","Number","112 903"
"1963","United Kingdom","Total","Number","990 200"
"1963","Iceland","Total","Number","4 820"
"1963","Liechtenstein","Total","Number","398"
"1963","Norway","Total","Number","63 290"
"1963","Switzerland","Total","Number","109 993"
"1963","Montenegro","Total","Number",":"
"1963","North Macedonia","Total","Number","41 284"
"1963","Albania","Total","Number","68 967"
"1963","Serbia","Total","Number",":"
"1963","Turkey","Total","Number",":"
"1963","Andorra","Total","Number",":"
"1963","Belarus","Total","Number",":"
"1963","Bosnia and Herzegovina","Total","Number","104 240"
"1963","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1963","Moldova","Total","Number",":"
"1963","Monaco","Total","Number",":"
"1963","Russia","Total","Number",":"
"1963","San Marino","Total","Number",":"
"1963","Ukraine","Total","Number",":"
"1963","Armenia","Total","Number",":"
"1963","Azerbaijan","Total","Number",":"
"1963","Georgia","Total","Number",":"
"1964","Belgium","Total","Number","160 838"
"1964","Bulgaria","Total","Number","130 958"
"1964","Czechia","Total","Number","154 420"
"1964","Denmark","Total","Number","83 356"
"1964","Germany including former GDR","Total","Number","1 357 304"
"1964","Estonia","Total","Number","19 629"
"1964","Ireland","Total","Number","64 072"
"1964","Greece","Total","Number","153 221"
"1964","Spain","Total","Number","694 625"
"1964","France","Total","Number",":"
"1964","France (metropolitan)","Total","Number","874 249"
"1964","Croatia","Total","Number","68 873"
"1964","Italy","Total","Number","1 016 120"
"1964","Cyprus","Total","Number","14 224"
"1964","Latvia","Total","Number","33 053"
"1964","Lithuania","Total","Number","55 856"
"1964","Luxembourg","Total","Number","5 229"
"1964","Hungary","Total","Number","132 141"
"1964","Malta","Total","Number","6 394"
"1964","Netherlands","Total","Number","250 914"
"1964","Austria","Total","Number","133 841"
"1964","Poland","Total","Number","563 921"
"1964","Portugal","Total","Number","217 136"
"1964","Romania","Total","Number","287 383"
"1964","Slovenia","Total","Number","29 184"
"1964","Slovakia","Total","Number","86 878"
"1964","Finland","Total","Number","80 428"
"1964","Sweden","Total","Number","122 664"
"1964","United Kingdom","Total","Number","1 014 700"
"1964","Iceland","Total","Number","4 787"
"1964","Liechtenstein","Total","Number","386"
"1964","Norway","Total","Number","65 570"
"1964","Switzerland","Total","Number","112 890"
"1964","Montenegro","Total","Number",":"
"1964","North Macedonia","Total","Number","42 897"
"1964","Albania","Total","Number","68 599"
"1964","Serbia","Total","Number",":"
"1964","Turkey","Total","Number",":"
"1964","Andorra","Total","Number",":"
"1964","Belarus","Total","Number",":"
"1964","Bosnia and Herzegovina","Total","Number","101 147"
"1964","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1964","Moldova","Total","Number",":"
"1964","Monaco","Total","Number",":"
"1964","Russia","Total","Number",":"
"1964","San Marino","Total","Number",":"
"1964","Ukraine","Total","Number",":"
"1964","Armenia","Total","Number",":"
"1964","Azerbaijan","Total","Number",":"
"1964","Georgia","Total","Number",":"
"1965","Belgium","Total","Number","155 496"
"1965","Bulgaria","Total","Number","125 791"
"1965","Czechia","Total","Number","147 438"
"1965","Denmark","Total","Number","85 796"
"1965","Germany including former GDR","Total","Number","1 325 386"
"1965","Estonia","Total","Number","18 909"
"1965","Ireland","Total","Number","63 525"
"1965","Greece","Total","Number","151 565"
"1965","Spain","Total","Number","673 551"
"1965","France","Total","Number",":"
"1965","France (metropolitan)","Total","Number","862 333"
"1965","Croatia","Total","Number","71 186"
"1965","Italy","Total","Number","990 458"
"1965","Cyprus","Total","Number","13 707"
"1965","Latvia","Total","Number","31 212"
"1965","Lithuania","Total","Number","53 818"
"1965","Luxembourg","Total","Number","5 297"
"1965","Hungary","Total","Number","133 009"
"1965","Malta","Total","Number","5 628"
"1965","Netherlands","Total","Number","245 216"
"1965","Austria","Total","Number","129 924"
"1965","Poland","Total","Number","547 397"
"1965","Portugal","Total","Number","210 299"
"1965","Romania","Total","Number","278 362"
"1965","Slovenia","Total","Number","30 587"
"1965","Slovakia","Total","Number","84 257"
"1965","Finland","Total","Number","77 885"
"1965","Sweden","Total","Number","122 806"
"1965","United Kingdom","Total","Number","997 275"
"1965","Iceland","Total","Number","4 721"
"1965","Liechtenstein","Total","Number","395"
"1965","Norway","Total","Number","66 277"
"1965","Switzerland","Total","Number","111 835"
"1965","Montenegro","Total","Number",":"
"1965","North Macedonia","Total","Number","42 433"
"1965","Albania","Total","Number","65 692"
"1965","Serbia","Total","Number",":"
"1965","Turkey","Total","Number",":"
"1965","Andorra","Total","Number",":"
"1965","Belarus","Total","Number",":"
"1965","Bosnia and Herzegovina","Total","Number","101 351"
"1965","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1965","Moldova","Total","Number",":"
"1965","Monaco","Total","Number",":"
"1965","Russia","Total","Number",":"
"1965","San Marino","Total","Number",":"
"1965","Ukraine","Total","Number",":"
"1965","Armenia","Total","Number",":"
"1965","Azerbaijan","Total","Number",":"
"1965","Georgia","Total","Number",":"
"1966","Belgium","Total","Number","151 096"
"1966","Bulgaria","Total","Number","123 039"
"1966","Czechia","Total","Number","141 162"
"1966","Denmark","Total","Number","88 332"
"1966","Germany including former GDR","Total","Number","1 318 303"
"1966","Estonia","Total","Number","18 629"
"1966","Ireland","Total","Number","62 215"
"1966","Greece","Total","Number","154 708"
"1966","Spain","Total","Number","667 163"
"1966","France","Total","Number",":"
"1966","France (metropolitan)","Total","Number","860 242"
"1966","Croatia","Total","Number","71 325"
"1966","Italy","Total","Number","979 940"
"1966","Cyprus","Total","Number","13 250"
"1966","Latvia","Total","Number","31 974"
"1966","Lithuania","Total","Number","54 275"
"1966","Luxembourg","Total","Number","5 194"
"1966","Hungary","Total","Number","138 489"
"1966","Malta","Total","Number","5 340"
"1966","Netherlands","Total","Number","239 611"
"1966","Austria","Total","Number","128 577"
"1966","Poland","Total","Number","531 316"
"1966","Portugal","Total","Number","206 940"
"1966","Romania","Total","Number","273 678"
"1966","Slovenia","Total","Number","30 941"
"1966","Slovakia","Total","Number","81 453"
"1966","Finland","Total","Number","77 697"
"1966","Sweden","Total","Number","123 354"
"1966","United Kingdom","Total","Number","976 600"
"1966","Iceland","Total","Number","4 692"
"1966","Liechtenstein","Total","Number","370"
"1966","Norway","Total","Number","67 061"
"1966","Switzerland","Total","Number","109 738"
"1966","Montenegro","Total","Number",":"
"1966","North Macedonia","Total","Number","41 431"
"1966","Albania","Total","Number","65 127"
"1966","Serbia","Total","Number",":"
"1966","Turkey","Total","Number",":"
"1966","Andorra","Total","Number",":"
"1966","Belarus","Total","Number",":"
"1966","Bosnia and Herzegovina","Total","Number","97 689"
"1966","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1966","Moldova","Total","Number",":"
"1966","Monaco","Total","Number",":"
"1966","Russia","Total","Number",":"
"1966","San Marino","Total","Number",":"
"1966","Ukraine","Total","Number",":"
"1966","Armenia","Total","Number",":"
"1966","Azerbaijan","Total","Number",":"
"1966","Georgia","Total","Number",":"
"1967","Belgium","Total","Number","146 193"
"1967","Bulgaria","Total","Number","124 582"
"1967","Czechia","Total","Number","138 448"
"1967","Denmark","Total","Number","81 410"
"1967","Germany including former GDR","Total","Number","1 272 276"
"1967","Estonia","Total","Number","18 671"
"1967","Ireland","Total","Number","61 307"
"1967","Greece","Total","Number","162 904"
"1967","Spain","Total","Number","677 487"
"1967","France","Total","Number",":"
"1967","France (metropolitan)","Total","Number","837 481"
"1967","Croatia","Total","Number","67 103"
"1967","Italy","Total","Number","948 772"
"1967","Cyprus","Total","Number","12 788"
"1967","Latvia","Total","Number","32 232"
"1967","Lithuania","Total","Number","53 806"
"1967","Luxembourg","Total","Number","4 957"
"1967","Hungary","Total","Number","148 886"
"1967","Malta","Total","Number","5 309"
"1967","Netherlands","Total","Number","238 678"
"1967","Austria","Total","Number","127 404"
"1967","Poland","Total","Number","521 817"
"1967","Portugal","Total","Number","202 061"
"1967","Romania","Total","Number","527 764"
"1967","Slovenia","Total","Number","29 824"
"1967","Slovakia","Total","Number","77 537"
"1967","Finland","Total","Number","77 289"
"1967","Sweden","Total","Number","121 360"
"1967","United Kingdom","Total","Number","961 800"
"1967","Iceland","Total","Number","4 404"
"1967","Liechtenstein","Total","Number","411"
"1967","Norway","Total","Number","66 779"
"1967","Switzerland","Total","Number","107 417"
"1967","Montenegro","Total","Number",":"
"1967","North Macedonia","Total","Number","40 124"
"1967","Albania","Total","Number","71 869"
"1967","Serbia","Total","Number",":"
"1967","Turkey","Total","Number",":"
"1967","Andorra","Total","Number",":"
"1967","Belarus","Total","Number",":"
"1967","Bosnia and Herzegovina","Total","Number","89 134"
"1967","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1967","Moldova","Total","Number",":"
"1967","Monaco","Total","Number",":"
"1967","Russia","Total","Number",":"
"1967","San Marino","Total","Number",":"
"1967","Ukraine","Total","Number",":"
"1967","Armenia","Total","Number",":"
"1967","Azerbaijan","Total","Number",":"
"1967","Georgia","Total","Number",":"
"1968","Belgium","Total","Number","141 984"
"1968","Bulgaria","Total","Number","141 460"
"1968","Czechia","Total","Number","137 437"
"1968","Denmark","Total","Number","74 543"
"1968","Germany including former GDR","Total","Number","1 214 968"
"1968","Estonia","Total","Number","19 782"
"1968","Ireland","Total","Number","61 004"
"1968","Greece","Total","Number","160 406"
"1968","Spain","Total","Number","664 948"
"1968","France","Total","Number",":"
"1968","France (metropolitan)","Total","Number","832 847"
"1968","Croatia","Total","Number","65 431"
"1968","Italy","Total","Number","930 172"
"1968","Cyprus","Total","Number","12 403"
"1968","Latvia","Total","Number","32 693"
"1968","Lithuania","Total","Number","54 258"
"1968","Luxembourg","Total","Number","4 704"
"1968","Hungary","Total","Number","154 419"
"1968","Malta","Total","Number","5 143"
"1968","Netherlands","Total","Number","237 112"
"1968","Austria","Total","Number","126 115"
"1968","Poland","Total","Number","525 751"
"1968","Portugal","Total","Number","194 962"
"1968","Romania","Total","Number","526 091"
"1968","Slovenia","Total","Number","28 580"
"1968","Slovakia","Total","Number","76 370"
"1968","Finland","Total","Number","73 654"
"1968","Sweden","Total","Number","113 087"
"1968","United Kingdom","Total","Number","947 300"
"1968","Iceland","Total","Number","4 227"
"1968","Liechtenstein","Total","Number","431"
"1968","Norway","Total","Number","67 350"
"1968","Switzerland","Total","Number","105 130"
"1968","Montenegro","Total","Number",":"
"1968","North Macedonia","Total","Number","40 124"
"1968","Albania","Total","Number","71 869"
"1968","Serbia","Total","Number",":"
"1968","Turkey","Total","Number",":"
"1968","Andorra","Total","Number",":"
"1968","Belarus","Total","Number",":"
"1968","Bosnia and Herzegovina","Total","Number","89 134"
"1968","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1968","Moldova","Total","Number",":"
"1968","Monaco","Total","Number",":"
"1968","Russia","Total","Number",":"
"1968","San Marino","Total","Number",":"
"1968","Ukraine","Total","Number",":"
"1968","Armenia","Total","Number",":"
"1968","Azerbaijan","Total","Number",":"
"1968","Georgia","Total","Number",":"
"1969","Belgium","Total","Number","141 799"
"1969","Bulgaria","Total","Number","143 060"
"1969","Czechia","Total","Number","143 165"
"1969","Denmark","Total","Number","71 298"
"1969","Germany including former GDR","Total","Number","1 142 366"
"1969","Estonia","Total","Number","20 781"
"1969","Ireland","Total","Number","62 912"
"1969","Greece","Total","Number","154 117"
"1969","Spain","Total","Number","664 114"
"1969","France","Total","Number",":"
"1969","France (metropolitan)","Total","Number","839 511"
"1969","Croatia","Total","Number","63 635"
"1969","Italy","Total","Number","932 466"
"1969","Cyprus","Total","Number","12 046"
"1969","Latvia","Total","Number","32 915"
"1969","Lithuania","Total","Number","54 263"
"1969","Luxembourg","Total","Number","4 503"
"1969","Hungary","Total","Number","154 318"
"1969","Malta","Total","Number","5 096"
"1969","Netherlands","Total","Number","247 588"
"1969","Austria","Total","Number","121 377"
"1969","Poland","Total","Number","532 828"
"1969","Portugal","Total","Number","189 739"
"1969","Romania","Total","Number","465 764"
"1969","Slovenia","Total","Number","27 883"
"1969","Slovakia","Total","Number","79 769"
"1969","Finland","Total","Number","67 450"
"1969","Sweden","Total","Number","107 622"
"1969","United Kingdom","Total","Number","920 300"
"1969","Iceland","Total","Number","4 218"
"1969","Liechtenstein","Total","Number","420"
"1969","Norway","Total","Number","67 746"
"1969","Switzerland","Total","Number","102 520"
"1969","Montenegro","Total","Number",":"
"1969","North Macedonia","Total","Number","40 341"
"1969","Albania","Total","Number","73 458"
"1969","Serbia","Total","Number",":"
"1969","Turkey","Total","Number",":"
"1969","Andorra","Total","Number",":"
"1969","Belarus","Total","Number",":"
"1969","Bosnia and Herzegovina","Total","Number","87 687"
"1969","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1969","Moldova","Total","Number",":"
"1969","Monaco","Total","Number",":"
"1969","Russia","Total","Number",":"
"1969","San Marino","Total","Number",":"
"1969","Ukraine","Total","Number",":"
"1969","Armenia","Total","Number",":"
"1969","Azerbaijan","Total","Number",":"
"1969","Georgia","Total","Number",":"
"1970","Belgium","Total","Number","142 168"
"1970","Bulgaria","Total","Number","138 745"
"1970","Czechia","Total","Number","147 865"
"1970","Denmark","Total","Number","70 802"
"1970","Germany including former GDR","Total","Number","1 047 737"
"1970","Estonia","Total","Number","21 552"
"1970","Ireland","Total","Number","64 382"
"1970","Greece","Total","Number","144 986"
"1970","Spain","Total","Number","661 065"
"1970","France","Total","Number",":"
"1970","France (metropolitan)","Total","Number","847 783"
"1970","Croatia","Total","Number","61 103"
"1970","Italy","Total","Number","901 472"
"1970","Cyprus","Total","Number","11 801"
"1970","Latvia","Total","Number","34 333"
"1970","Lithuania","Total","Number","55 519"
"1970","Luxembourg","Total","Number","4 411"
"1970","Hungary","Total","Number","151 819"
"1970","Malta","Total","Number","5 314"
"1970","Netherlands","Total","Number","238 912"
"1970","Austria","Total","Number","112 301"
"1970","Poland","Total","Number","547 819"
"1970","Portugal","Total","Number","180 690"
"1970","Romania","Total","Number","427 034"
"1970","Slovenia","Total","Number","27 432"
"1970","Slovakia","Total","Number","80 666"
"1970","Finland","Total","Number","64 559"
"1970","Sweden","Total","Number","110 150"
"1970","United Kingdom","Total","Number","903 907"
"1970","Iceland","Total","Number","4 023"
"1970","Liechtenstein","Total","Number","422"
"1970","Norway","Total","Number","64 551"
"1970","Switzerland","Total","Number","99 216"
"1970","Montenegro","Total","Number",":"
"1970","North Macedonia","Total","Number","37 862"
"1970","Albania","Total","Number","69 507"
"1970","Serbia","Total","Number",":"
"1970","Turkey","Total","Number",":"
"1970","Andorra","Total","Number",":"
"1970","Belarus","Total","Number",":"
"1970","Bosnia and Herzegovina","Total","Number","79 296"
"1970","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1970","Moldova","Total","Number",":"
"1970","Monaco","Total","Number",":"
"1970","Russia","Total","Number",":"
"1970","San Marino","Total","Number",":"
"1970","Ukraine","Total","Number",":"
"1970","Armenia","Total","Number",":"
"1970","Azerbaijan","Total","Number",":"
"1970","Georgia","Total","Number",":"
"1971","Belgium","Total","Number","141 527"
"1971","Bulgaria","Total","Number","135 422"
"1971","Czechia","Total","Number","154 180"
"1971","Denmark","Total","Number","75 359"
"1971","Germany including former GDR","Total","Number","1 013 396"
"1971","Estonia","Total","Number","22 118"
"1971","Ireland","Total","Number","67 551"
"1971","Greece","Total","Number","141 155"
"1971","Spain","Total","Number","671 554"
"1971","France","Total","Number",":"
"1971","France (metropolitan)","Total","Number","878 647"
"1971","Croatia","Total","Number","64 890"
"1971","Italy","Total","Number","906 182"
"1971","Cyprus","Total","Number","11 641"
"1971","Latvia","Total","Number","35 239"
"1971","Lithuania","Total","Number","56 044"
"1971","Luxembourg","Total","Number","4 443"
"1971","Hungary","Total","Number","150 640"
"1971","Malta","Total","Number","5 562"
"1971","Netherlands","Total","Number","227 180"
"1971","Austria","Total","Number","108 510"
"1971","Poland","Total","Number","564 381"
"1971","Portugal","Total","Number","181 243"
"1971","Romania","Total","Number","400 146"
"1971","Slovenia","Total","Number","28 278"
"1971","Slovakia","Total","Number","83 062"
"1971","Finland","Total","Number","61 067"
"1971","Sweden","Total","Number","114 484"
"1971","United Kingdom","Total","Number","901 600"
"1971","Iceland","Total","Number","4 277"
"1971","Liechtenstein","Total","Number","350"
"1971","Norway","Total","Number","65 550"
"1971","Switzerland","Total","Number","96 261"
"1971","Montenegro","Total","Number",":"
"1971","North Macedonia","Total","Number","37 904"
"1971","Albania","Total","Number","72 784"
"1971","Serbia","Total","Number",":"
"1971","Turkey","Total","Number",":"
"1971","Andorra","Total","Number",":"
"1971","Belarus","Total","Number",":"
"1971","Bosnia and Herzegovina","Total","Number","82 694"
"1971","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1971","Moldova","Total","Number",":"
"1971","Monaco","Total","Number",":"
"1971","Russia","Total","Number",":"
"1971","San Marino","Total","Number",":"
"1971","Ukraine","Total","Number",":"
"1971","Armenia","Total","Number",":"
"1971","Azerbaijan","Total","Number",":"
"1971","Georgia","Total","Number",":"
"1972","Belgium","Total","Number","136 304"
"1972","Bulgaria","Total","Number","131 316"
"1972","Czechia","Total","Number","163 661"
"1972","Denmark","Total","Number","75 505"
"1972","Germany including former GDR","Total","Number","901 657"
"1972","Estonia","Total","Number","21 757"
"1972","Ireland","Total","Number","68 527"
"1972","Greece","Total","Number","140 916"
"1972","Spain","Total","Number","672 103"
"1972","France","Total","Number",":"
"1972","France (metropolitan)","Total","Number","875 093"
"1972","Croatia","Total","Number","66 035"
"1972","Italy","Total","Number","888 203"
"1972","Cyprus","Total","Number","11 620"
"1972","Latvia","Total","Number","35 007"
"1972","Lithuania","Total","Number","54 616"
"1972","Luxembourg","Total","Number","4 086"
"1972","Hungary","Total","Number","153 265"
"1972","Malta","Total","Number","5 385"
"1972","Netherlands","Total","Number","214 133"
"1972","Austria","Total","Number","104 033"
"1972","Poland","Total","Number","577 893"
"1972","Portugal","Total","Number","174 685"
"1972","Romania","Total","Number","389 153"
"1972","Slovenia","Total","Number","28 713"
"1972","Slovakia","Total","Number","87 794"
"1972","Finland","Total","Number","58 864"
"1972","Sweden","Total","Number","112 273"
"1972","United Kingdom","Total","Number","834 000"
"1972","Iceland","Total","Number","4 676"
"1972","Liechtenstein","Total","Number","359"
"1972","Norway","Total","Number","64 260"
"1972","Switzerland","Total","Number","91 342"
"1972","Montenegro","Total","Number",":"
"1972","North Macedonia","Total","Number","38 187"
"1972","Albania","Total","Number","73 607"
"1972","Serbia","Total","Number",":"
"1972","Turkey","Total","Number",":"
"1972","Andorra","Total","Number",":"
"1972","Belarus","Total","Number",":"
"1972","Bosnia and Herzegovina","Total","Number","82 068"
"1972","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number",":"
"1972","Moldova","Total","Number",":"
"1972","Monaco","Total","Number",":"
"1972","Russia","Total","Number",":"
"1972","San Marino","Total","Number",":"
"1972","Ukraine","Total","Number",":"
"1972","Armenia","Total","Number",":"
"1972","Azerbaijan","Total","Number",":"
"1972","Georgia","Total","Number",":"
"1973","Belgium","Total","Number","129 424"
"1973","Bulgaria","Total","Number","139 713"
"1973","Czechia","Total","Number","181 750"
"1973","Denmark","Total","Number","71 895"
"1973","Germany including former GDR","Total","Number","815 969"
"1973","Estonia","Total","Number","21 239"
"1973","Ireland","Total","Number","68 713"
"1973","Greece","Total","Number","137 555"
"1973","Spain","Total","Number","672 726"
"1973","France","Total","Number",":"
"1973","France (metropolitan)","Total","Number","854 880"
"1973","Croatia","Total","Number","67 389"
"1973","Italy","Total","Number","874 546"
"1973","Cyprus","Total","Number","11 600"
"1973","Latvia","Total","Number","34 008"
"1973","Lithuania","Total","Number","51 944"
"1973","Luxembourg","Total","Number","3 800"
"1973","Hungary","Total","Number","156 224"
"1973","Malta","Total","Number","5 272"
"1973","Netherlands","Total","Number","194 993"
"1973","Austria","Total","Number","98 041"
"1973","Poland","Total","Number","600 862"
"1973","Portugal","Total","Number","172 324"
"1973","Romania","Total","Number","378 696"
"1973","Slovenia","Total","Number","29 548"
"1973","Slovakia","Total","Number","92 953"
"1973","Finland","Total","Number","56 787"
"1973","Sweden","Total","Number","109 663"
"1973","United Kingdom","Total","Number","779 545"
"1973","Iceland","Total","Number","4 598"
"1973","Liechtenstein","Total","Number","403"
"1973","Norway","Total","Number","61 208"
"1973","Switzerland","Total","Number","87 518"
"1973","Montenegro","Total","Number",":"
"1973","North Macedonia","Total","Number","37 479"
"1973","Albania","Total","Number","69 754"
"1973","Serbia","Total","Number",":"
